,0,aloadp,asolarp,abatteryp
1514775300,-4.05296865295,1.4191146176,-5.47208327055,0.0
1514775600,-4.06426119852,1.4363638058499992,-5.500625004369999,0.0
1514775900,-4.03882350552,1.5428431825999995,-5.581666688119999,0.0
1514776200,-3.77244492021,1.8011721526099995,-5.573617072819999,0.0
1514776500,-3.72691374883,1.8124863232700004,-5.5394000721,0.0
1514776800,-3.50384897176,2.01381065181,-5.51765962357,0.0
1514777100,-3.87705872182,1.6068187715899995,-5.48387749341,0.0
1514777400,-3.42079994559,2.0033666642499988,-5.4241666098399985,0.0
1514777700,-3.3545999085900005,2.0134851815599997,-5.36808509015,0.0
1514778000,-3.50999999225,1.6700000085599997,-5.18000000081,0.0
1514778300,-3.51140008643,1.5146416398399998,-5.02604172627,0.0
1514778600,-3.41643272048,1.6220779774700005,-5.0385106979500005,0.0
1514778900,-3.2799294782,1.6602788575200003,-4.94020833572,0.0
1514779200,-3.25020007223,1.6414665686099994,-4.89166664084,0.0
1514779500,-3.21159997731,1.5655429074700007,-4.777142884780001,0.0
1514779800,-3.24680001408,1.3657531765999997,-4.61255319068,0.0
1514780100,-2.74260007665,1.6386498776500003,-4.3812499543,0.0
1514780400,-2.2560000807,2.1276168993900004,-4.38361698009,0.0
1514780700,-0.8090000069140002,1.4951666661439997,-1.87812500695,-0.426041666108
1514781000,-2.39120002866,1.63588331361,-4.02708334227,0.0
1514781300,1.0563999844299996,6.604485083,-2.9661701993700005,-2.5819148992
1514781600,1.2744000154700008,7.2250250128800015,-2.727916677790001,-3.22270831962
1514781900,1.3651999992099997,6.95478331913,-2.32958332946,-3.25999999046
1514782200,1.7796000254199997,7.56939593016,-2.52979591428,-3.25999999046
1514782500,1.7692000234099998,7.5030298007,-2.4768085073900004,-3.2570212699
1514782800,1.46000000477,6.9748979570500005,-2.2646938708400004,-3.25020408144
1514783100,1.4629959331200002,7.25321337159,-2.54021743847,-3.25
1514783400,1.2336902169999995,6.1441069095,-2.63833335539,-2.27208333711
1514783700,0.48716330996600066,4.5984132802360005,-2.6745833084,-1.43666666187
1514784000,0.552654895911,3.571196554212,-0.735208334401,-2.2833333239
1514784300,0.08539999485019978,3.0874833243302,-1.78062500308,-1.2214583264
1514784600,-0.12500000849400006,3.314166672723,-2.9899999996,-0.449166681617
1514784900,0.004599990099670048,3.49501240346767,-2.82020833592,-0.670204077448
1514785200,0.08820000678300004,2.4979916480294,-2.42812497417,0.0183333329236
1514785500,0.09439999483529993,2.9935666875073,-2.0812500231,-0.817916669572
1514785800,0.46479999303800024,3.6272999917380004,-2.14208332946,-1.02041666924
1514786100,-0.3799999787659999,2.568958318185,-2.00708329181,-0.941875005141
1514786400,0.4933999884129999,3.155691652421,-2.00499999523,-0.657291668778
1514786700,0.24651428355200022,2.6177642719170002,-1.93187498798,-0.4393750003850001
1514787000,0.3422431427360002,3.268626131426,-1.29276596105,-1.63361702764
1514787300,-0.005975515732960068,1.34902449459704,-0.735000003129,-0.620000007201
1514787600,-0.02283137974789995,1.3195623346291,-0.965102043687,-0.37729167069
1514787900,0.006399993896480105,1.51452499856548,-1.0391666616,-0.468958343069
1514788200,-0.010600005388300082,1.5312580098767,-0.991041672726,-0.550816342539
1514788500,-0.032828550910499965,1.4594588887955,-0.95208333681,-0.540204102896
1514788800,0.025560790469800088,1.4321424299018002,-0.834081629101,-0.5725000103310001
1514789100,0.02560000270610019,1.2864510790141002,-0.676170212157,-0.584680864151
1514789400,0.0007999944686888361,1.345748970813689,-0.672500000646,-0.6724489756990001
1514789700,0.009367340158440096,1.38909694304044,-0.682708337903,-0.697021264979
1514790000,0.00407057611381012,1.3171317891198102,-0.586530606357,-0.726530606649
1514790300,-0.021424494896600144,1.3164478200643999,-0.631276589759,-0.706595725202
1514790600,0.03221959783170003,1.4877297926437,-0.562448981465,-0.8930612133470001
1514790900,0.012800006866499847,1.4321617212195,-0.449999998225,-0.969361716128
1514791200,0.0288000026345,1.3955347025705,-0.406326525674,-0.960408174262
1514791500,0.019800001680899904,1.3215021364678998,-0.371702133975,-0.930000000812
1514791800,0.011799994707099914,1.2951333130151,-0.385833329832,-0.897499988476
1514792100,0.029000009894400103,1.4515723066784,-0.406041666244,-1.01653063054
1514792400,0.020000009536699892,1.4235417178996999,-0.328125001863,-1.0754167065
1514792700,0.032000004053099884,1.3911667007161,-0.277083334823,-1.08208336184
1514793000,0.03479999303819992,1.2764666828601998,-0.236666664792,-1.00500002503
1514793300,0.018799989521500082,1.2608397912615,-0.20586956260000008,-1.0361702391399998
1514793600,0.03040001869199993,1.399583662127,-0.214285712765,-1.15489793067
1514793900,0.014600003957699892,1.4577914441396997,-0.256808509852,-1.18638293033
1514794200,0.02012158613579995,1.4026216149988,-0.338750001043,-1.04375002782
1514794500,0.020000001192099992,1.3282865669341,-0.386041662966,-0.922244902776
1514794800,0.02620000541209999,1.3351583433651,-0.382916665326,-0.926041672627
1514795100,0.032600014209699824,1.4515796392137,-0.326530614374,-1.09244901063
1514795400,0.5238000214099996,2.3103957581429997,-0.263404256803,-1.52319147993
1514795700,0.8043428262160004,2.8667497641880004,-0.205531913232,-1.85687502474
1514796000,0.03919215796039999,1.6375680012654,-0.16795918478500002,-1.43041665852
1514796300,0.017359165950699973,1.8452314594607,-0.13255319134000002,-1.69531910217
1514796600,0.024301926108000194,2.0114447796255,-0.0948979598375,-1.89224489368
1514796900,1.4416734761399996,2.0059287882255,-0.0778723406665,-0.4863829714190001
1514797200,1.9632156814,2.0253433405369,-0.0621276591369,0.0
1514797500,2.22339998782,2.2615249872007,-0.0381249993807,0.0
1514797800,2.07019998569,2.0804083187952,-0.0102083331052,0.0
1514798100,1.31560000181,1.316451065620764,-0.000851063810764,0.0
1514798400,1.23100000594,1.2320416725833798,-0.00104166664338,0.0
1514798700,1.25700000525,1.25700000525,0.0,0.0
1514799000,1.3222000015200002,1.3226255334253822,-0.000425531905382,0.0
1514799300,1.46060001194,1.461433345254707,-0.000833333314707,0.0
1514799600,1.54259999901,1.543238296868073,-0.0006382978580730003,0.0
1514799900,1.39299999405,1.39299999405,0.0,0.0
1514800200,1.32619999796,1.326412763912691,-0.000212765952691,0.0
1514800500,1.2269999947,1.2274255266053822,-0.000425531905382,0.0
1514800800,1.21300000105,1.213833334364707,-0.000833333314707,0.0
1514801100,1.21560000688,1.2175149004542198,-0.00191489357422,0.0
1514801400,1.2079999958399998,1.20922448560855,-0.00122448976855,0.0
1514801700,1.1232000051100002,1.1238383029680732,-0.0006382978580730003,0.0
1514802000,1.26459999688,1.2648127628326908,-0.000212765952691,0.0
1514802300,1.69699997924,1.697833312554707,-0.000833333314707,0.0
1514802600,1.21240000024,1.2126127661926909,-0.000212765952691,0.0
1514802900,1.22479999296,1.225216659617353,-0.00041666665735300016,0.0
1514803200,1.2927999878299998,1.2934249878160298,-0.00062499998603,0.0
1514803500,1.20939998977,1.210038287628073,-0.0006382978580730003,0.0
1514803800,1.0195999863,1.02022498628603,-0.00062499998603,0.0
1514804100,1.04979999278,1.050008326108677,-0.00020833332867700009,0.0
1514804400,1.02419997502,1.02419997502,0.0,0.0
1514804700,0.965399990864,0.965612756816691,-0.000212765952691,0.0
1514805000,0.905400003493,0.905632561627337,-0.000232558134337,0.0
1514805300,0.928799986094,0.9290127520466911,-0.000212765952691,0.0
1514805600,1.09939999804,1.100038295898073,-0.0006382978580730003,0.0
1514805900,1.2081999853299998,1.208616651987353,-0.00041666665735300016,0.0
1514806200,1.01179998878,1.012438286638073,-0.0006382978580730003,0.0
1514806500,0.805599987581,0.806016654238353,-0.00041666665735300016,0.0
1514806800,0.8433999813349999,0.8433999813349999,0.0,0.0
1514807100,0.8713999930769999,0.8720249930630299,-0.00062499998603,0.0
1514807400,0.875999995954,0.876425527859382,-0.000425531905382,0.0
1514807700,0.80560000293,0.806212247814274,-0.0006122448842740001,0.0
1514808000,0.908599995039,0.909016661696353,-0.00041666665735300016,0.0
1514808300,1.04879999481,1.04879999481,0.0,0.0
1514808600,1.23579999298,1.23579999298,0.0,0.0
1514808900,1.2221999985,1.2226166651573531,-0.00041666665735300016,0.0
1514809200,1.17468162595,1.1748990172494889,-0.000217391299489,0.0
1514809500,1.16049019264,1.160898355896183,-0.0004081632561830001,0.0
1514809800,1.25580000341,1.2562166700673532,-0.00041666665735300016,0.0
1514810100,2.34540002689,2.3460250268760303,-0.00062499998603,0.0
1514810400,2.0151877525,2.0151877525,0.0,0.0
1514810700,1.0973372645,1.0973372645,0.0,0.0
1514811000,0.992151017116,0.993002080926764,-0.000851063810764,0.0
1514811300,0.8896941221610001,0.8903191221470301,-0.00062499998603,0.0
