aloadp,asolarp
0.66202,0
0.61338,-0.041734
0.64741,0
0.78308,0
0.82251,-0.030845
0.73513,-0.047881
0.6482,-0.049649
0.7684,-0.027716
0.99097,0
0.93149,0
0.73434,0
0.60675,0
0.70437,-0.0036713
0.84153,-0.009563
0.81587,-0.051282
0.9689,-0.04272
1.2956,-0.11423
1.2656,-0.15859
1.47,-0.16386
1.4593,-0.10119
0.92164,-0.12469
0.97094,-0.2262
1.0522,-0.2591
0.98886,-0.25052
1.1775,-0.23202
1.2202,-0.25643
0.99309,-0.33228
1.0288,-0.29416
1.0868,-0.29217
1.4935,-0.36446
1.3851,-0.63296
1.1001,-0.63153
0.94375,-0.38896
0.95519,-0.42827
1.1397,-0.78303
2.0786,-0.81311
1.4489,-0.82392
0.86653,-0.95053
2.02,-1.051
2.9284,-0.82871
2.0843,-1.21
1.8426,-1.3779
1.7629,-1.4895
1.7637,-1.547
1.9049,-1.7194
2.1388,-1.7696
2.0759,-1.8536
1.98,-1.9663
1.8765,-2.0011
2.2588,-2.1048
2.3456,-2.1466
2.1159,-2.2734
1.9127,-2.3414
1.8839,-2.3925
2.0603,-2.4795
2.0223,-2.5638
1.9612,-2.6525
1.7252,-2.7315
1.8062,-2.7678
2.5113,-2.8839
2.1768,-2.9277
2.1488,-2.9447
1.9078,-3.0567
1.936,-3.1316
2.0843,-3.1255
2.4785,-3.1839
2.4873,-3.2433
2.2804,-3.3483
2.5527,-3.3039
2.4566,-3.3905
2.2695,-3.4348
2.2383,-3.4532
2.5887,-3.4782
2.744,-3.5029
2.7963,-3.5827
3.0863,-3.6069
3.3007,-3.6392
2.8745,-3.6261
3.3431,-3.7027
3.0751,-3.7137
3.2105,-3.7292
2.9908,-3.8229
3.6508,-3.8137
3.7396,-3.7686
3.6834,-3.846
3.0327,-3.7777
2.5717,-3.8123
1.8921,-3.8463
3.1724,-3.8548
2.4021,-3.9524
3.1387,-3.9533
2.7766,-3.9895
3.6569,-4.0052
5.5209,-3.9339
8,-4.0223
6.9658,-4.0366
3.6764,-3.9595
3.2448,-4.0251
3.418,-3.9705
3.377,-3.9157
3.6939,-3.9872
3.2146,-4.0203
3.1981,-4.075
2.5507,-4.0744
2.6169,-4.0109
4.1397,-3.946
4.6559,-3.9594
2.2614,-3.9637
2.3136,-3.9862
2.4523,-4.0202
2.8148,-4.0747
2.8458,-4.0523
3.1655,-4.0218
2.5694,-3.9789
3.1987,-3.9494
3.2196,-3.8791
2.6232,-3.7774
2.4402,-3.6335
2.5894,-3.6447
2.6178,-3.5523
2.6296,-3.5358
2.4285,-3.4973
2.1156,-3.3072
2.6099,-3.1385
3.4056,-3.179
2.3624,-1.315
2.5434,-2.9648
8,-2.1984
8,-1.939
8,-1.6841
8,-1.8421
8,-1.809
8,-1.6503
8,-1.892
8,-1.9108
7.2576,-1.9438
5.683,-0.55168
4.8851,-1.294
5.2196,-2.1889
5.5304,-2.089
3.9944,-1.7346
4.6865,-1.5246
5.7291,-1.53
4.0241,-1.4201
5.0114,-1.4723
4.179,-1.3872
5.121,-0.98261
2.0811,-0.57998
2.1234,-0.70345
2.3787,-0.74083
2.4452,-0.75953
2.3127,-0.66655
2.2468,-0.57721
2.0381,-0.47695
2.0951,-0.49673
2.2437,-0.4618
1.9913,-0.46624
1.9339,-0.44613
2.1314,-0.47982
1.9632,-0.34052
1.8531,-0.33378
1.7806,-0.35637
1.7644,-0.34069
1.9863,-0.33038
1.9186,-0.26251
1.8737,-0.21015
1.7511,-0.21061
1.6704,-0.18436
1.8645,-0.20848
1.9833,-0.26554
1.861,-0.29851
1.8426,-0.29181
1.7892,-0.34801
2.0022,-0.29232
3.0883,-0.25099
3.9224,-0.18551
2.1779,-0.16641
2.5091,-0.13845
2.7439,-0.082603
2.7661,-0.022244
2.7117,-0.080405
3.0669,-0.011824
2.7988,-0.0097461
1.7425,-0.049573
1.6581,0
1.7168,0
1.782,0
1.9627,0
2.0669,-0.046144
1.8668,0
1.8276,-0.023008
1.7078,-0.021627
1.6333,-0.042726
1.6163,-0.015782
1.6747,0
1.531,0
1.6993,0
2.2819,-0.021173
1.6278,0
1.6535,0
1.7605,-0.044977
1.6136,0
1.3962,-0.048482
1.4142,0
1.3989,0
1.3035,-0.020842
1.2487,-0.043274
1.2566,-0.013496
1.5362,-0.016673
1.5994,-0.021425
1.4169,-0.0021729
1.0577,-0.040651
1.1012,0
1.1971,-0.014696
1.2284,0
1.1072,-0.004642
1.2764,-0.011429
1.4144,0
1.6499,0
1.6953,0
1.6223,0
1.6193,-0.015006
1.7463,0
3.1666,0
2.7784,-0.037065
1.4738,-0.029511
1.3034,-0.031316
1.183,0
1.1167,0
0.93371,-0.026904
